epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.3114,1.16628,1.30475,0.94347,0.96712,0.71719,0.82522,0.61404,0.8462,1.01647,0.81683,0.000661111,0.000661111,0.000661111
2,106.719,0.84385,0.68523,0.86204,0.90389,0.89635,0.93356,0.72716,0.6786,0.52075,0.78215,0.00126205,0.00126205,0.00126205
3,155.647,0.74853,0.58763,0.84345,0.91296,0.91452,0.9431,0.74692,0.67032,0.49691,0.78209,0.00179699,0.00179699,0.00179699
4,203.454,0.71228,0.5445,0.83898,0.93052,0.90693,0.95002,0.78102,0.56746,0.4509,0.76894,0.001703,0.001703,0.001703
5,245.969,0.68724,0.50959,0.83326,0.92478,0.90526,0.94931,0.79002,0.58068,0.44605,0.76704,0.001604,0.001604,0.001604
6,289.854,0.6617,0.48128,0.82979,0.92532,0.90683,0.94927,0.79713,0.54959,0.44029,0.76692,0.001505,0.001505,0.001505
7,333.151,0.62508,0.44957,0.82119,0.94972,0.90066,0.95309,0.80585,0.5245,0.40083,0.76322,0.001406,0.001406,0.001406
8,373.793,0.61108,0.43862,0.82425,0.97784,0.90311,0.96339,0.81468,0.51846,0.38515,0.75748,0.001307,0.001307,0.001307
9,414.646,0.59212,0.42045,0.81994,0.95122,0.92411,0.96298,0.81554,0.50256,0.38367,0.75608,0.001208,0.001208,0.001208
10,455.038,0.57289,0.40728,0.81809,0.97001,0.91422,0.96556,0.832,0.48293,0.37727,0.75015,0.001109,0.001109,0.001109
11,493.948,0.55961,0.41334,0.80858,0.96922,0.89585,0.95865,0.82712,0.49532,0.38458,0.75466,0.00101,0.00101,0.00101
12,520.837,0.53872,0.38619,0.80761,0.93791,0.90738,0.96234,0.82749,0.51171,0.37357,0.75947,0.000911,0.000911,0.000911
13,547.677,0.52783,0.37951,0.80619,0.92228,0.92953,0.9657,0.83513,0.5036,0.38469,0.7557,0.000812,0.000812,0.000812
14,574.313,0.50541,0.36069,0.80213,0.91304,0.93679,0.96413,0.84138,0.48119,0.37405,0.7551,0.000713,0.000713,0.000713
15,600.999,0.48465,0.34967,0.8032,0.97584,0.92349,0.97093,0.83944,0.51143,0.3571,0.7535,0.000614,0.000614,0.000614
16,627.193,0.47877,0.34149,0.80058,0.967,0.93102,0.96988,0.83663,0.48911,0.34062,0.75318,0.000515,0.000515,0.000515
17,651.499,0.4631,0.32994,0.80022,0.98245,0.91887,0.97015,0.85104,0.45578,0.34318,0.75048,0.000416,0.000416,0.000416
18,676.888,0.46514,0.32843,0.79604,0.98375,0.93372,0.97204,0.85175,0.45685,0.34242,0.75011,0.000317,0.000317,0.000317
19,702.753,0.45495,0.32399,0.7944,0.97772,0.93474,0.97226,0.85452,0.44711,0.33801,0.74822,0.000218,0.000218,0.000218
20,722.98,0.43951,0.31353,0.79381,0.98101,0.93327,0.97283,0.85748,0.43785,0.32366,0.74726,0.000119,0.000119,0.000119
