epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.39,1.03013,1.10108,0.91337,0.94567,0.77882,0.88343,0.66572,0.74344,0.5862,0.80829,0.00066335,0.00066335,0.00066335
2,58.1778,0.76743,0.59824,0.84734,0.98112,0.74424,0.87112,0.67924,0.74192,0.53363,0.79706,0.00126418,0.00126418,0.00126418
3,69.7751,0.71471,0.52906,0.83878,0.90995,0.85132,0.93436,0.72535,0.64336,0.45727,0.78657,0.00179901,0.00179901,0.00179901
4,81.5679,0.65715,0.4781,0.83071,0.95708,0.81571,0.93094,0.74593,0.59629,0.45236,0.77482,0.001703,0.001703,0.001703
5,93.0147,0.62669,0.44209,0.82316,0.92002,0.87779,0.93891,0.77311,0.57817,0.41692,0.77294,0.001604,0.001604,0.001604
6,104.641,0.59613,0.41462,0.82116,0.81591,0.92056,0.93683,0.77898,0.55348,0.41578,0.76951,0.001505,0.001505,0.001505
7,116.005,0.57046,0.39496,0.81534,0.91485,0.85882,0.92886,0.76741,0.58561,0.40657,0.77502,0.001406,0.001406,0.001406
8,127.329,0.55594,0.38741,0.81579,0.89929,0.87898,0.9451,0.80997,0.51635,0.39759,0.7617,0.001307,0.001307,0.001307
9,138.586,0.53985,0.37266,0.81334,0.96141,0.91132,0.96103,0.82013,0.5097,0.3705,0.75933,0.001208,0.001208,0.001208
10,149.769,0.51973,0.35679,0.8086,0.90703,0.89518,0.94927,0.8225,0.52522,0.37893,0.75825,0.001109,0.001109,0.001109
11,161.278,0.50317,0.35207,0.80047,0.89322,0.90121,0.94473,0.80501,0.54018,0.38472,0.76159,0.00101,0.00101,0.00101
12,171.951,0.48806,0.33929,0.79964,0.87139,0.93668,0.95174,0.81603,0.51343,0.38334,0.75551,0.000911,0.000911,0.000911
13,182.831,0.47264,0.32947,0.79588,0.95127,0.88295,0.95562,0.82862,0.50946,0.37999,0.76003,0.000812,0.000812,0.000812
14,193.927,0.45584,0.3167,0.79294,0.96793,0.92608,0.9653,0.84309,0.48943,0.35061,0.75674,0.000713,0.000713,0.000713
15,205.046,0.4496,0.31133,0.79282,0.97784,0.92888,0.96659,0.83405,0.49466,0.34893,0.757,0.000614,0.000614,0.000614
16,216.062,0.44085,0.30455,0.79184,0.97512,0.9365,0.96867,0.85036,0.49025,0.35622,0.7548,0.000515,0.000515,0.000515
17,227.061,0.43062,0.29641,0.79222,0.97767,0.93194,0.97011,0.8412,0.51954,0.33855,0.75617,0.000416,0.000416,0.000416
18,238.041,0.41215,0.28919,0.79037,0.98286,0.93546,0.97085,0.84792,0.46153,0.33131,0.74925,0.000317,0.000317,0.000317
19,249.004,0.40626,0.2797,0.78795,0.98047,0.93498,0.96996,0.84599,0.49328,0.34538,0.75299,0.000218,0.000218,0.000218
20,260.127,0.39561,0.27383,0.78617,0.98095,0.94062,0.97231,0.85946,0.46334,0.32947,0.751,0.000119,0.000119,0.000119
