epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7051,1.04859,1.10637,0.91784,0.88808,0.83041,0.87443,0.6931,0.6558,0.55436,0.794,0.00066335,0.00066335,0.00066335
2,48.5535,0.75923,0.59292,0.85005,0.88328,0.84327,0.90971,0.72186,0.63709,0.49642,0.78442,0.00126418,0.00126418,0.00126418
3,59.0688,0.70578,0.52872,0.8382,0.86763,0.87949,0.92372,0.73608,0.60832,0.45416,0.7706,0.00179901,0.00179901,0.00179901
4,69.3438,0.66401,0.48041,0.8313,0.91332,0.917,0.95146,0.81599,0.53144,0.407,0.76442,0.001703,0.001703,0.001703
5,79.8005,0.62062,0.4398,0.82577,0.97134,0.9139,0.96217,0.83253,0.50397,0.38421,0.76144,0.001604,0.001604,0.001604
6,90.207,0.60378,0.42049,0.82357,0.90999,0.93533,0.96079,0.80475,0.51481,0.38677,0.75882,0.001505,0.001505,0.001505
7,100.383,0.5754,0.3986,0.81832,0.97571,0.94297,0.9709,0.8415,0.48817,0.36678,0.7492,0.001406,0.001406,0.001406
8,111.083,0.56565,0.38803,0.81636,0.97391,0.94689,0.97131,0.8424,0.47816,0.34956,0.75229,0.001307,0.001307,0.001307
9,121.148,0.54264,0.37412,0.81316,0.9523,0.93763,0.97144,0.87012,0.43088,0.33778,0.74599,0.001208,0.001208,0.001208
10,131.77,0.53408,0.36334,0.81375,0.97648,0.94614,0.97437,0.86273,0.43339,0.33599,0.73968,0.001109,0.001109,0.001109
11,142.635,0.51341,0.35564,0.80398,0.99047,0.94148,0.97272,0.85743,0.45925,0.35756,0.75022,0.00101,0.00101,0.00101
12,152.645,0.49674,0.34255,0.80238,0.98439,0.95198,0.97505,0.8577,0.43642,0.341,0.7394,0.000911,0.000911,0.000911
13,162.638,0.4819,0.33399,0.80132,0.98881,0.9508,0.97591,0.87039,0.45555,0.33412,0.74196,0.000812,0.000812,0.000812
14,172.725,0.47106,0.32599,0.79766,0.98919,0.95476,0.97765,0.8552,0.43921,0.34229,0.73839,0.000713,0.000713,0.000713
15,182.66,0.45739,0.31513,0.79363,0.98984,0.95099,0.97857,0.85858,0.44885,0.33398,0.74029,0.000614,0.000614,0.000614
16,192.506,0.44002,0.30323,0.79424,0.99012,0.9526,0.97828,0.87786,0.4223,0.321,0.73997,0.000515,0.000515,0.000515
17,202.642,0.43644,0.29934,0.79286,0.98637,0.95743,0.98084,0.88629,0.4128,0.30592,0.73815,0.000416,0.000416,0.000416
18,212.796,0.42913,0.29272,0.79167,0.99004,0.95527,0.98084,0.87783,0.40274,0.30512,0.73532,0.000317,0.000317,0.000317
19,222.702,0.41695,0.28382,0.79096,0.98745,0.95788,0.97878,0.87644,0.40206,0.30351,0.73858,0.000218,0.000218,0.000218
20,232.599,0.40914,0.28038,0.7924,0.9897,0.95658,0.98059,0.88872,0.38535,0.29752,0.73466,0.000119,0.000119,0.000119
